347,20201013195614gloire,1000019,1,3,3,10/13/2020,1,gloire
348,20201013195734gloire,1000239,1,5.5,5.5,10/13/2020,1,gloire
349,20201013195734gloire,1000239,1,5.5,5.5,10/13/2020,1,gloire
350,20201013202716gloire,1000212,1,2,2,10/13/2020,1,gloire
351,20201013203146gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
352,20201013205523gloire,1000051,2,0.35,0.7,10/13/2020,1,gloire
353,20201013210234gloire,1000236,2,0.1,0.2,10/13/2020,1,gloire
354,20201013210359gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
355,20201013211118gloire,1000051,1,0.35,0.35,10/13/2020,1,gloire
356,20201013212935gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
357,20201013213133gloire,1000215,4,0.2,0.8,10/13/2020,1,gloire
358,20201013214049gloire,1000215,1,0.2,0.2,10/13/2020,1,gloire
359,20201013214319gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
360,20201013215000gloire,1000114,1,1.5,1.5,10/13/2020,1,gloire
361,20201013215000gloire,1000029,1,0.85,0.85,10/13/2020,1,gloire
362,20201013220213gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
363,20201013221208gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
364,20201013222121gloire,1000243,1,1.5,1.5,10/13/2020,1,gloire
365,20201013222606gloire,1000168,1,2,2,10/13/2020,1,gloire
366,20201013222606gloire,3000010,1,6,6,10/13/2020,1,gloire
367,20201013222606gloire,1000120,1,1,1,10/13/2020,1,gloire
368,20201013224945gloire,1000030,1,0.5,0.5,10/13/2020,1,gloire
369,20201013224945gloire,1000049,1,0.35,0.35,10/13/2020,1,gloire
370,20201013225449gloire,1000214,1,1,1,10/13/2020,1,gloire
371,20201013225449gloire,1000215,7,0.2,1.4,10/13/2020,1,gloire
372,20201013225449gloire,1000037,1,1,1,10/13/2020,1,gloire
373,20201013225506gloire,1000033,1,0.5,0.5,10/13/2020,1,gloire
374,20201013225918gloire,1000049,1,0.35,0.35,10/13/2020,1,gloire
375,20201013231229gloire,1000120,1,1,1,10/13/2020,1,gloire
376,20201013225949gloire,1000215,1,0.2,0.2,10/13/2020,1,gloire
377,20201013225949gloire,1000014,1,0.9,0.9,10/13/2020,1,gloire
378,20201013234426gloire,1000253,1,0.75,0.75,10/13/2020,1,gloire
379,20201013235936gloire,1000226,3,1,3,10/14/2020,1,gloire
380,20201013235936gloire,1000215,5,0.2,1,10/14/2020,1,gloire
381,20201014000609gloire,1000302,1,1.25,1.25,10/14/2020,1,gloire
